,Brand,Product Name,Ratings,Number of ratings,Price,Delivery day,Availability,Return,Color,Material
52,MAIOO,Ukulele,-,-,-,Dec 30 - Jan 3,In stock.,7 Days Replacement,-,Basswood
53,Honeytecs,-,-,-,-,-,,7 Days Replacement,Wood color,"Spruce Wood, Mahogany"
54,METW,Ukulele,-,-,-,-,,10 Days Returnable,Heart-shaped,Basswood
55,Kala,-,4.2 out of 5,74 ratings,-,"Friday, Dec 17",In stock.,7 Days Replacement,Pink Burst,Mahogany
56,Flight,-,-,-,-,"Saturday, Dec 18",Only 2 left in stock.,7 Days Replacement,Arcana,ABS plastic
57,Flight,-,-,-,-,"Saturday, Dec 18",Only 1 left in stock.,7 Days Replacement,Natural,Dao wood
58,Batking,Ukulele,4.4 out of 5,9 ratings,-,"Monday, Dec 20",In stock.,7 Days Replacement,Natural,Mahogany
59,Flight,-,2 out of 5,1 rating,-,"Saturday, Dec 18",Only 2 left in stock.,7 Days Replacement,Granada,ABS plastic
60,Kadence,Ukulele,4.2 out of 5,270 ratings,-,"Saturday, Dec 18",In stock.,7 Days Replacement,Black,Wood
61,VAULT,-,4.1 out of 5,802 ratings,-,"Sunday, Dec 19",In stock.,7 Days Replacement,Black,-
62,Martin Smith,Ukulele,3.7 out of 5,"2,870 ratings",-,"Sunday, Dec 19",In stock.,7 Days Replacement,Black,-
63,Kadence,-,4.3 out of 5,"1,478 ratings",-,"Saturday, Dec 18",In stock.,7 Days Replacement,Mahagony Wood,Mahogany
64,Kadence,-,4.3 out of 5,"3,914 ratings",-,"Saturday, Dec 18",In stock.,7 Days Replacement,Bag with Tuner,Mahogany
65,Kadence,-,4.3 out of 5,"1,478 ratings",-,"Saturday, Dec 18",In stock.,7 Days Replacement,Mahagony Wood,Mahogany
66,Intern,-,3.9 out of 5,289 ratings,-,"Friday, Dec 17",In stock.,7 Days Replacement,Black,Wood
67,Juarez,-,4.2 out of 5,"4,406 ratings",-,"Sunday, Dec 19",In stock.,7 Days Replacement,Brown,-
68,Decdeal,-,-,-,-,Jan 1 - 4,In stock.,7 Days Replacement,Green,Acrylonitrile Butadiene Styrene
69,POOWE,"Guitar, Ukulele",-,-,-,-,,7 Days Replacement,-,Wood
70,HEALLILY,-,-,-,-,Dec 31 - Jan 3,In stock.,7 Days Replacement,Beige,-
71,Juarez,-,4.2 out of 5,963 ratings,-,"Sunday, Dec 19",In stock.,7 Days Replacement,Sapele,-
72,Juarez,-,4.1 out of 5,278 ratings,-,"Saturday, Dec 18",In stock.,7 Days Replacement,BLUE,Sapele
73,JUAREZ,-,4 out of 5,67 ratings,-,"Saturday, Dec 18",In stock.,7 Days Replacement,NATURAL,Sapele
74,Kadence,-,4.3 out of 5,"1,091 ratings",-,"Saturday, Dec 18",In stock.,7 Days Replacement,Acoustic,Spruce Wood
75,VAULT,-,4.1 out of 5,802 ratings,-,"Friday, Dec 17",In stock.,7 Days Replacement,Brown,-
76,Kadence,Ukulele,4.2 out of 5,270 ratings,-,"Saturday, Dec 18",In stock.,7 Days Replacement,Black,Wood
77,Kadence,Ukulele,4.3 out of 5,466 ratings,-,"Saturday, Dec 18",In stock.,7 Days Replacement,Cinnamon Brown,Wood
78,JUAREZ,-,3.9 out of 5,31 ratings,-,"Sunday, Dec 19",In stock.,7 Days Replacement,BLACK,Sapele Wood
79,Juarez,-,4.1 out of 5,71 ratings,-,"Sunday, Dec 19",In stock.,7 Days Replacement,Mahogany,Mahogany
80,Musoo,-,4.1 out of 5,287 ratings,-,"Monday, Dec 20",In stock.,7 Days Replacement,Brown,-
81,Musoo,Ukulele,-,-,-,"Monday, Dec 20",In stock.,7 Days Replacement,Brown,Mahogany
82,Flight,-,5 out of 5,5 ratings,-,"Saturday, Dec 18",Only 2 left in stock.,7 Days Replacement,Blue,Sapele
83,Flight,-,-,-,-,"Saturday, Dec 18",Only 1 left in stock.,7 Days Replacement,Surf,ABS plastic
84,Kadence,Ukulele,4 out of 5,74 ratings,-,"Saturday, Dec 18",In stock.,7 Days Replacement,White,Mahogany
85,Kadence,-,4.3 out of 5,208 ratings,-,"Saturday, Dec 18",In stock.,7 Days Replacement,Brown,Sapele
